0,0_remanufacturer_remanufacturing_remanufacture_product_clsc,"['remanufacturer', 'remanufacturing', 'remanufacture_product', 'clsc', 'closedloop_supply_chain', 'original_manufacturer', 'oem', 'manufacturer', 'retail_price', 'remanufacturing_degree']","remanufacturer, remanufacturing, remanufacture_product, clsc, closedloop_supply_chain, original_manufacturer, oem, manufacturer, retail_price, remanufacturing_degree"
1,1_disclosure_american_inventors_aipa_postaipa,"['disclosure', 'american_inventors', 'aipa', 'postaipa', 'cvc', 'cvc_funding', '18_month', 'cvc_unit', 'corporate_venture', 'debt']","disclosure, american_inventors, aipa, postaipa, cvc, cvc_funding, 18_month, cvc_unit, corporate_venture, debt"
2,2_trips_data_exclusivity_bilateral_regional_human,"['trips', 'data_exclusivity', 'bilateral_regional', 'human', 'health', '7_8', 'trade_agreement', 'competition_law', 'competitionrelated_provision', 'human_wellbeing']","trips, data_exclusivity, bilateral_regional, human, health, 7_8, trade_agreement, competition_law, competitionrelated_provision, human_wellbeing"
3,3_biosimilar_biologic_bpcia_biologics_price,"['biosimilar', 'biologic', 'bpcia', 'biologics_price', 'patent_dance', 'reference_product', 'insulin_glargine', 'offpatent_biological', 'biologic_biosimilar', 'biopharmaceutical']","biosimilar, biologic, bpcia, biologics_price, patent_dance, reference_product, insulin_glargine, offpatent_biological, biologic_biosimilar, biopharmaceutical"
4,4_generic_drug_drug_pharmaceutical_generic,"['generic_drug', 'drug', 'pharmaceutical', 'generic', 'market_exclusivity', 'indian_pharmaceutical', 'inhaler', 'brand_drug', 'pharmaceutical_industry', 'medicine']","generic_drug, drug, pharmaceutical, generic, market_exclusivity, indian_pharmaceutical, inhaler, brand_drug, pharmaceutical_industry, medicine"
5,5_traditional_knowledge_genetic_resource_biological_diversity_indigenous_knowledge,"['traditional_knowledge', 'genetic_resource', 'biological_diversity', 'indigenous_knowledge', 'indigenous_people', 'tk', 'nagoya_protocol', 'tkdl', 'access_benefitsharing', 'tmk']","traditional_knowledge, genetic_resource, biological_diversity, indigenous_knowledge, indigenous_people, tk, nagoya_protocol, tkdl, access_benefitsharing, tmk"
6,6_stem_cell_human_embryo_human_embryonic_stem_cell_biotechnological,"['stem_cell', 'human_embryo', 'human_embryonic', 'stem_cell_biotechnological', 'hesc', 'patentability_of_stem', 'cell_biotechnological', 'access_of_hesc', 'potentiality', 'patentability']","stem_cell, human_embryo, human_embryonic, stem_cell_biotechnological, hesc, patentability_of_stem, cell_biotechnological, access_of_hesc, potentiality, patentability"
7,7_genetic_diversity_germplasm_cultivar_zea,"['genetic_diversity', 'germplasm', 'cultivar', 'zea', 'expvp', 'genotype', 'descriptor', 'breeding', 'breeder', 'breed']","genetic_diversity, germplasm, cultivar, zea, expvp, genotype, descriptor, breeding, breeder, breed"
8,8_plant_variety_synthetic_biology_gene_farmer,"['plant_variety', 'synthetic_biology', 'gene', 'farmer', 'biotechnology', 'genome_editing', 'gene_editing', 'pbr', 'source_code', 'biotech']","plant_variety, synthetic_biology, gene, farmer, biotechnology, genome_editing, gene_editing, pbr, source_code, biotech"
9,9_formal_appropriability_appropriability_mechanism_external_search_appropriability,"['formal_appropriability', 'appropriability_mechanism', 'external_search', 'appropriability', 'absorptive_capacity', 'fip', 'formal_appropriation', 'rac', 'depth', 'kibs_firm']","formal_appropriability, appropriability_mechanism, external_search, appropriability, absorptive_capacity, fip, formal_appropriation, rac, depth, kibs_firm"
10,10_3dp_3d_printing_threedimensional_printing_pharmaceutically_relevant,"['3dp', '3d_printing', 'threedimensional_printing', 'pharmaceutically_relevant', 'additive_manufacturing', 'fdm', '3d_printer', 'printing', 'model_polymer', 'secure_remote']","3dp, 3d_printing, threedimensional_printing, pharmaceutically_relevant, additive_manufacturing, fdm, 3d_printer, printing, model_polymer, secure_remote"
